,gene_name,log_fc,pvals_adj,pts
0,XAF1,3.1742527,9.88031605407053e-28,0.9486166007905138
1,IFI44L,3.0374668,1.916875933019791e-22,0.9051383399209486
2,TENM2,4.8377786,1.0511632509164372e-21,0.7984189723320159
3,MX1,2.1749284,2.6767726473273105e-20,0.9130434782608695
4,CSE1L,0.775017,3.0995204132195446e-20,0.9960474308300395
5,PRNP,0.8123502,1.3152179678703876e-17,0.9960474308300395
6,DDX3Y,21.91456,3.771303523713483e-17,0.6758893280632411
7,NGFRAP1,1.0203257,6.060029597910937e-17,0.9920948616600791
8,RPS4Y1,22.333158,1.9252907933174058e-16,0.6600790513833992
9,CTSB,1.1365509,1.9252907933174058e-16,1.0
10,OAS2,2.1422524,1.9328788285391016e-16,0.8537549407114624
11,CCDC14,1.5842566,2.1899376904161421e-16,0.9841897233201581
12,TTTY15,21.47131,3.7766405870855864e-16,0.6521739130434783
13,DKK1,22.007679,3.7766405870855864e-16,0.6521739130434783
14,KYNU,3.013786,4.844892137453826e-16,0.7430830039525692
15,ANXA2P2,0.71930456,7.004395704319622e-16,0.9762845849802372
16,VIM,5.9151716,2.121177191428231e-15,0.6482213438735178
17,GBP1,2.1300163,2.192238509144245e-15,0.857707509881423
18,CCND2,5.7878704,4.5850076750042886e-15,0.6482213438735178
19,CAMSAP2,1.3574867,4.6605545986238396e-15,0.9723320158102767
20,SERPINE1,1.5015341,4.8204398237305034e-15,0.9367588932806324
21,GLO1,0.65592444,9.953429617046266e-15,0.9881422924901185
22,MOB3B,2.5843756,1.2982661756271573e-14,0.7549407114624506
23,PLOD2,2.2461376,1.3280444803371155e-14,0.8142292490118577
24,TFAP2C,0.41442677,1.7228800818316026e-14,1.0
25,CD74,4.110914,1.8029701293855578e-14,0.6521739130434783
26,UBE2R2,1.0974748,2.3114211226728057e-14,0.9683794466403162
27,ZDHHC4,21.314919,3.314259148935643e-14,0.6086956521739131
28,C1R,3.2883542,4.7941696816591795e-14,0.6877470355731226
29,PSMD6,0.49003053,7.243233607420569e-14,0.9841897233201581
30,CKS1B,0.99263126,7.373357385813594e-14,0.9881422924901185
31,RAB7A,0.51151854,8.345981307674591e-14,0.9841897233201581
32,MMP1,6.861272,1.0019225882763433e-13,0.6205533596837944
33,BICC1,21.840017,1.0753483680781004e-13,0.5968379446640316
34,SSB,0.50359166,1.2197326870812318e-13,1.0
35,H2AFY,0.53906804,2.1056223654883316e-13,0.9960474308300395
36,GOLT1B,0.76538205,2.2637049239816166e-13,0.9644268774703557
37,FGD5-AS1,0.92193305,5.999315948295118e-13,0.9565217391304348
38,TMEM106C,0.87931275,6.831281501476389e-13,0.9644268774703557
39,COL4A2,20.370583,7.985669387240246e-13,0.5770750988142292
40,PKIG,2.1620107,8.00405369420146e-13,0.7430830039525692
41,ATP1B3,0.4982714,1.3270559361207945e-12,0.9920948616600791
42,TIMP2,3.6600428,1.798073127715223e-12,0.6284584980237155
43,PDGFA,0.698787,1.8410365017942073e-12,0.9960474308300395
44,UTP6,0.8172391,2.2988559331602695e-12,0.9644268774703557
45,BARD1,1.0641379,2.3175691741742764e-12,0.9565217391304348
46,SAMHD1,1.8721892,2.7897807832125806e-12,0.8300395256916996
47,AHNAK,0.49476388,3.3322302128024156e-12,1.0
48,TSFM,1.3006552,3.3782605714709495e-12,0.8853754940711462
49,ANAPC5,0.5935976,3.4074459778988133e-12,0.9960474308300395
50,KLK5,6.1058,4.0480494630411744e-12,0.5691699604743083
51,DSP,0.9328688,5.717171349646105e-12,0.9881422924901185
52,DDX27,0.66721606,8.175530082392681e-12,0.9920948616600791
53,UBE2T,1.091101,1.461406435088761e-11,0.924901185770751
54,HNRNPD,0.50143975,1.488428877044767e-11,1.0
55,MTRNR2L8,3.1095424,1.502195132962448e-11,0.6482213438735178
56,SRSF11,0.73176605,1.553412492160522e-11,0.9960474308300395
57,STT3B,0.95268303,1.5757803695042714e-11,0.932806324110672
58,TUBA1A,1.4344772,1.919326777648613e-11,0.8774703557312253
59,TFG,0.38336226,2.34853720980418e-11,0.9881422924901185
60,ELK3,1.2372202,3.712629316755219e-11,0.924901185770751
61,EPSTI1,3.402214,3.9561595870713545e-11,0.6126482213438735
62,CD40,4.2644486,4.446013248098763e-11,0.5691699604743083
63,TMEM87A,0.44567022,4.94883295041708e-11,0.9881422924901185
64,ANTXR1,2.8146524,4.9961153960540016e-11,0.6126482213438735
65,THRAP3,0.22368853,5.0686888033677665e-11,1.0
66,OFD1,1.0311745,5.47958303691845e-11,0.9644268774703557
67,CSTB,0.8412959,6.819881909532555e-11,0.9841897233201581
68,YAE1D1,1.15959,7.438547166507678e-11,0.9130434782608695
69,ATG3,0.534091,8.314171490648245e-11,0.9723320158102767
70,RBMS3,5.337107,8.394604555465159e-11,0.541501976284585
71,TRMT10C,0.60933304,9.610294513783261e-11,0.9446640316205533
72,LAMTOR1,0.37579742,1.0532093852483232e-10,0.9802371541501976
73,C1S,3.9512825,1.0737541067534783e-10,0.5612648221343873
74,HERC2P9,1.895078,1.2404578174792907e-10,0.758893280632411
75,KATNBL1,1.1246413,1.2952998280608546e-10,0.9051383399209486
76,RAC1,0.6578434,1.3525354907523006e-10,1.0
77,SUN1,0.65286666,1.3657271308512744e-10,0.9723320158102767
78,C5ORF42,1.5600581,1.631028728698428e-10,0.8853754940711462
79,MTF2,0.89829683,1.794913044814344e-10,0.9841897233201581
80,VPS25,0.37794912,1.803919350839937e-10,0.9841897233201581
81,CPVL,3.8241587,2.1019060745524572e-10,0.5612648221343873
82,PTS,0.6930317,2.2682045379420738e-10,0.9446640316205533
83,GPNMB,1.2555281,2.3232848044490448e-10,0.9051383399209486
84,FAM98B,1.3699064,2.335094457521203e-10,0.8023715415019763
85,UCA1,1.6376576,2.347005072548511e-10,0.7391304347826086
86,TRIM22,6.2093472,2.371131339784143e-10,0.5296442687747036
