,gene_name,log_fc,pvals_adj,pts
0,IFITM2,2.1186247,3.7195043628137894e-34,1.0
1,C11ORF70,3.6805787,1.6368802669557554e-33,0.9866666666666667
2,NNMT,4.3843155,1.8436983092759456e-33,0.9866666666666667
3,TPM2,2.385542,8.550320074142066e-33,0.9866666666666667
4,YAP1,1.5426313,8.550320074142066e-33,0.9866666666666667
5,FAM171B,2.3073816,4.7664736286839085e-31,1.0
6,DIO2,3.9893184,4.984384299201465e-31,0.9866666666666667
7,MLLT11,2.3861544,3.989131369335629e-30,1.0
8,SLC41A2,2.3445044,8.683743671492601e-30,1.0
9,NRIP3,0.99971163,4.696270588655918e-29,1.0
10,LINC00162,2.481358,4.8683964665460376e-29,0.9866666666666667
11,MDK,1.0403411,5.165492070167735e-29,1.0
12,SPCS3,0.77840924,8.06275914926541e-29,1.0
13,PDGFC,1.2821445,8.06275914926541e-29,1.0
14,THAP5,0.8215557,5.110471226915633e-28,1.0
15,KIAA1377,2.7627053,2.659426699469771e-27,0.9733333333333334
16,ROS1,4.6806674,8.753717242856633e-27,0.8933333333333333
17,EMP3,1.8850839,1.3434063085971718e-26,0.96
18,EIF1AD,0.49164352,1.3434063085971718e-26,1.0
19,COL1A1,3.2428102,2.3351241440097932e-26,0.96
20,RB1CC1,1.4379997,3.115218479225017e-26,1.0
21,ARHGAP42,3.2962165,3.2042004557372737e-25,0.92
22,GLS,1.1521659,4.0464196611153366e-25,1.0
23,PDE4DIP,2.4155006,4.813598632977675e-25,0.9333333333333333
24,RPS17,1.4590325,6.670482015575247e-25,1.0
25,C9ORF84,2.5456975,8.860236383334407e-25,0.96
26,CPA4,2.7531664,9.711500619634081e-25,0.9466666666666667
27,ADAMTS1,2.8114536,9.99275804088222e-25,0.9466666666666667
28,SELM,1.4749464,1.652545108522508e-24,0.9866666666666667
29,NREP,2.417472,2.6485150510444695e-24,0.9466666666666667
30,C6ORF48,0.7280232,3.5723171113350854e-24,1.0
31,CXCL2,2.9443107,5.266794890916567e-24,0.92
32,CYP24A1,3.5970852,6.593571537722817e-24,0.88
33,KRT18,0.7981604,7.016482649432472e-24,1.0
34,SLC39A8,2.633003,7.810044029342286e-24,0.92
35,IL32,2.5526428,8.078526414980506e-24,1.0
36,FKBP2,0.62885636,8.739890820439364e-24,1.0
37,CRISPLD2,2.6998653,9.815407353714563e-24,0.9066666666666666
38,ZNF451,1.1959889,1.616148477221036e-23,1.0
39,TGM2,4.499427,3.005310306433321e-23,0.8266666666666667
40,PTS,0.7915158,3.8496517367799113e-23,0.9866666666666667
41,BNIP3,1.6541548,6.173226817656921e-23,0.9866666666666667
42,UACA,1.1358796,6.986420223388352e-23,0.9866666666666667
43,PRSS21,2.770249,1.4280081787221826e-22,0.9066666666666666
44,HIF1A,1.6490221,4.269095887646081e-22,0.9733333333333334
45,CFL2,0.7257843,4.868282213052464e-22,1.0
46,RWDD2B,0.9069774,8.65807577417753e-22,1.0
47,CCRN4L,1.9151577,1.4862609114742413e-21,0.9733333333333334
48,TENM3,1.4197769,2.6654400686958183e-21,1.0
49,LAMTOR1,0.5510175,3.401226431963755e-21,1.0
50,SGCE,2.1567228,3.8965403179850246e-21,0.9466666666666667
51,HES1,1.0569566,1.1113538584589748e-20,1.0
52,NBPF1,1.3025926,3.896814827109947e-20,1.0
53,HIST2H4A,3.2383733,4.828196512967572e-20,0.8133333333333334
54,BIRC3,2.3301888,5.223956490644297e-20,0.92
55,DCUN1D4,2.0145085,6.048279772951851e-20,1.0
56,MICA,1.949326,9.786860739430808e-20,0.92
57,CCNI,0.5541215,9.786860739430808e-20,1.0
58,KRT8,0.74469143,1.295122651426505e-19,1.0
59,HIST2H2AA4,4.123555,4.699853691522955e-19,0.76
60,LETM1,0.4165683,5.355534782534252e-19,1.0
61,LAMTOR4,0.9343345,1.1584360001195306e-18,1.0
62,LINC00707,2.530581,1.2684405957143271e-18,0.84
63,CDV3,0.41723666,1.3012726947795467e-18,1.0
64,VAMP5,1.5246651,1.6658184021052437e-18,0.9333333333333333
65,RBM26,0.99598366,1.8008740358537426e-18,1.0
66,MT1A,4.438684,7.531865107906622e-18,0.7333333333333333
67,ANXA2P2,0.5437293,8.342694422016645e-18,1.0
68,MT1M,4.311651,8.560004915138553e-18,0.7333333333333333
69,HMGA2,2.03669,9.243889912363061e-18,0.96
70,ABCA1,1.8185407,1.263102404589473e-17,0.96
71,MTRNR2L1,1.5136416,1.2718813155674962e-17,1.0
72,HSD17B11,2.021336,1.4189255839930445e-17,0.88
73,UBE2B,0.9228684,1.8430006319965226e-17,1.0
74,IL6,1.708657,2.1469563937721814e-17,0.9066666666666666
75,GPR1,3.0093138,3.1792948593350085e-17,0.7866666666666666
76,UBE2W,0.6447073,3.1792948593350085e-17,1.0
77,NCF2,1.9879273,4.376435580977704e-17,0.8666666666666667
78,SBDSP1,0.89445114,6.57342419456804e-17,1.0
79,PLOD2,0.8869938,1.0442667583680029e-16,1.0
80,MT1L,2.0232167,1.5372666322994108e-16,0.88
81,SULT1E1,2.2385132,5.615584533923363e-16,0.8266666666666667
82,HIST2H4B,2.9319468,7.516178007808415e-16,0.7466666666666667
83,C3,1.2807723,1.119868407164685e-15,1.0
84,MX1,0.6918932,1.3760332719785606e-15,1.0
85,C4ORF26,4.8190465,1.4303801038314222e-15,0.68
86,GLT8D2,2.759561,1.8158570097037003e-15,0.76
87,HIST2H2AA3,3.775352,1.910457716633217e-15,0.6933333333333334
88,EDIL3,1.9452976,2.0952035585480305e-15,0.8533333333333334
89,SEMA3A,0.87545,2.525722429606394e-15,1.0
90,RBP1,1.2823839,3.933231316761829e-15,0.9733333333333334
91,CNN3,0.6724006,4.136894483626488e-15,1.0
92,ANAPC10,1.3675135,4.300449657441425e-15,0.8933333333333333
93,SAMD9L,1.2810403,4.8527428070374616e-15,0.9733333333333334
94,C11ORF74,1.5662615,4.917558214505684e-15,0.9333333333333333
95,MFI2,2.0618103,5.848038465822852e-15,0.84
96,PON2,0.8448204,7.396949686657344e-15,0.9866666666666667
97,APOL2,0.46573985,9.313461426716578e-15,1.0
98,NKX3-1,0.85851514,1.0620782204323217e-14,0.92
99,FOXRED2,1.3277962,1.154167531974818e-14,0.96
100,FKBP9,0.76281255,1.655437421763594e-14,1.0
101,PTTG1IP,0.66672856,1.822470844964068e-14,1.0
102,TIMP2,1.2382011,2.0762915442878213e-14,0.9333333333333333
103,TRAPPC2,0.8670346,2.2592210219717024e-14,0.9333333333333333
104,MRPL39,0.9616017,2.984039012053857e-14,1.0
105,GNGT1,1.8405906,3.264154549388374e-14,0.8533333333333334
106,PTN,4.639918,3.689361960312784e-14,0.64
107,PPAPDC1A,2.7993834,4.80879100676273e-14,0.72
108,STARD4-AS1,3.6179252,6.461764575349156e-14,0.6666666666666666
109,MGMT,1.7842299,6.601766855918751e-14,0.84
110,CPNE8,0.73787975,7.797510180258804e-14,0.9733333333333334
111,MSC,4.4960785,8.665252201094372e-14,0.64
112,CYB5A,1.4215087,9.956436997705431e-14,0.9866666666666667
113,SERPINE1,0.6856738,1.0696466255580076e-13,1.0
114,PPM1K,1.5220027,1.4028035386550175e-13,0.88
115,AGA,1.5414076,1.7209985784670065e-13,0.88
116,TMEM128,0.8398207,1.7292198074895884e-13,0.96
117,FIBP,0.7707378,1.8262748647910371e-13,1.0
118,CYB5R2,3.7958033,1.8645832851275044e-13,0.68
119,SEMA3C,1.4620603,1.9899816899004708e-13,1.0
120,GNPDA2,1.2537199,2.412203745126772e-13,0.92
121,ANAPC15,0.5246188,2.780005096710295e-13,1.0
122,CDA,0.78448755,3.0503646529315695e-13,0.9733333333333334
123,QDPR,1.4704709,3.2384459622837477e-13,0.9466666666666667
124,CSTB,0.46278873,3.7714082460285886e-13,1.0
125,NTN4,1.761958,4.159270690704883e-13,0.8533333333333334
126,S100A4,1.746031,4.438924008326504e-13,0.8
127,ADAM12,1.4455851,4.974868341247659e-13,0.9066666666666666
128,SCGB1D1,19.3553,5.027787939157987e-13,0.5866666666666667
129,TMEM179B,1.0424106,6.771570117226213e-13,1.0
130,RAMP1,1.4404955,6.880792506721139e-13,0.8666666666666667
131,IFI44L,0.7737617,7.067942301709247e-13,1.0
132,PLCB4,1.5406475,7.182259960448826e-13,0.88
133,SPTLC3,1.9634587,7.377857872079861e-13,0.8133333333333334
134,MIR155HG,2.7393856,1.9134483561800957e-12,0.6933333333333334
135,LUM,5.409957,2.0070806507422548e-12,0.5866666666666667
136,MOK,0.91544986,2.3912363370647557e-12,0.96
137,CXCL1,1.084354,2.4297794012776275e-12,0.9466666666666667
138,PSPH,0.50314444,2.8633485020707952e-12,1.0
139,GBAP1,1.6423266,3.706027028140222e-12,0.8133333333333334
140,LOX,1.6478078,3.886026645169012e-12,0.8933333333333333
141,MX2,1.2367746,3.927899570694039e-12,0.9333333333333333
142,TMEM133,3.5712533,4.385667244079731e-12,0.6133333333333333
143,GLIPR2,1.9349806,4.386848253837155e-12,0.7733333333333333
144,NIPBL,1.2485646,5.242494621116266e-12,0.9866666666666667
145,MIR4426,0.43652043,5.326864837875097e-12,1.0
146,SMIM11,0.7588328,6.9856751719070976e-12,0.96
147,FBLN2,5.493839,7.841534436786789e-12,0.5733333333333334
148,GUSBP1,1.0319332,9.019815674122088e-12,0.9333333333333333
149,CLK1,1.0426283,1.0587307671965761e-11,0.9466666666666667
150,FAM216A,0.9791232,1.0646855609746814e-11,0.9066666666666666
151,TRIM37,0.9655736,1.3565632689307344e-11,0.9866666666666667
152,TRIM44,0.84588164,1.4285446896755103e-11,0.9466666666666667
153,HERC6,0.92385834,1.5432297882547963e-11,1.0
154,TJP1,0.6025976,1.684051733661808e-11,1.0
155,HSPB8,1.6134505,1.913863081209914e-11,0.8133333333333334
156,TXNIP,1.4206823,1.9345096000166224e-11,0.88
157,WISP2,3.7662175,1.955410576778487e-11,0.6
158,CTH,2.0534394,2.2469045187489455e-11,0.7333333333333333
159,IFI35,0.7742663,2.6305297737314128e-11,0.9733333333333334
160,APCDD1L-AS1,1.2143589,2.9774059165326296e-11,0.8666666666666667
161,ACAT2,1.2031,2.9774059165326296e-11,0.96
162,ZNF468,9.358606,2.9774059165326296e-11,0.5466666666666666
163,GADD45A,0.69118387,3.262393137181197e-11,0.96
164,PTBP2,0.8886473,3.508124364857977e-11,1.0
165,DMAP1,2.1737876,3.6731940096300116e-11,0.7866666666666666
166,LIFR,1.76175,4.0640296996005394e-11,0.8
167,PAXBP1,1.0889989,4.5217148176376925e-11,0.9066666666666666
