,gene_name,log_fc,pvals_adj,pts
0,HES1,3.1188157,2.8646194489110747e-25,1.0
1,UBA6,2.9257367,2.8646194489110747e-25,1.0
2,CCNL1,3.1683576,3.264464522411268e-25,1.0
3,FAM171B,2.5391154,3.264464522411268e-25,1.0
4,KIAA1377,5.6192713,3.264464522411268e-25,1.0
5,TIMP2,6.7805777,3.264464522411268e-25,0.9885057471264368
6,HMGN2,2.2382486,3.264464522411268e-25,1.0
7,COL1A1,5.704319,3.654527914718759e-25,0.9885057471264368
8,BIRC3,4.1248326,4.861625133105054e-25,1.0
9,LAMTOR1,1.8405107,7.598367605791775e-25,1.0
10,CPNE8,1.2621493,7.598367605791775e-25,1.0
11,NNMT,9.3634615,7.86769725321987e-25,0.9770114942528736
12,IFNGR2,3.595127,9.114336452195537e-25,1.0
13,YAP1,2.9260135,1.4648933651235957e-24,1.0
14,FIBP,1.6012832,1.5934866897450049e-24,1.0
15,DAB2,5.115658,1.9323296714465536e-24,0.9770114942528736
16,KRT81,8.606718,2.4756592938657072e-24,0.9655172413793104
17,TTC19,3.0230427,3.04947662619572e-24,0.9885057471264368
18,DCUN1D4,3.4633524,3.411497858655403e-24,1.0
19,NIPBL,2.7793553,3.83865034514841e-24,1.0
20,RAC1,1.7599058,4.4741318060151225e-24,0.9885057471264368
21,IL6,3.7452288,4.8355987018148816e-24,0.9770114942528736
22,UBE2L6,3.404694,5.643050010504641e-24,0.9770114942528736
23,COQ10B,2.3606658,6.586123537934574e-24,1.0
24,DNER,3.4104958,7.669695565076426e-24,1.0
25,FKBP2,1.3437306,8.801624169537589e-24,0.9885057471264368
26,XAF1,3.3448343,9.111216785685174e-24,0.9885057471264368
27,PTX3,4.640817,1.2059845693742944e-23,0.9770114942528736
28,SEMA3C,3.3215008,1.2288330953245795e-23,0.9770114942528736
29,MRPL39,3.669234,1.5465271358684592e-23,0.9770114942528736
30,ARL14EP,1.7827865,2.112304772631338e-23,0.9885057471264368
31,MLLT11,4.4899993,3.546546809060016e-23,0.9540229885057471
32,TGM2,5.1263475,4.167225483043039e-23,0.9540229885057471
33,VAMP5,3.3504035,4.4987387018994834e-23,0.9540229885057471
34,TCEAL8,2.5283883,5.381078244954642e-23,0.9770114942528736
35,C3,3.831158,5.689174832136377e-23,0.9770114942528736
36,GOLGA4,1.2926444,8.442143550229962e-23,1.0
37,CARD16,4.48012,9.437444535111283e-23,0.9540229885057471
38,TMEM179B,3.5451112,9.437444535111283e-23,0.9655172413793104
39,EMP3,3.6023397,1.055414950867199e-22,0.9540229885057471
40,BRD8,2.183713,1.3979982764794652e-22,1.0
41,PCYT1A,2.8325844,1.4302814198884406e-22,0.9770114942528736
42,NGFRAP1,3.105998,1.4634638183393305e-22,0.9885057471264368
43,COX7A2L,1.52945,1.601676948928152e-22,1.0
44,MX1,2.6585627,1.611838039204705e-22,0.9885057471264368
45,UACA,2.1908402,1.7060268113702206e-22,0.9885057471264368
46,DIO2,5.2393494,3.6013598554451586e-22,0.9425287356321839
47,EFHC1,2.7700646,4.646418363784587e-22,1.0
48,STC1,5.841292,4.995502340259376e-22,0.9310344827586207
49,EPSTI1,6.0142817,5.941657902145603e-22,0.9195402298850575
50,NME4,4.0958676,5.987883625323375e-22,0.9310344827586207
51,LOX,4.2932286,7.292316553020927e-22,0.9540229885057471
52,BASP1,3.618584,8.67085192278043e-22,0.9885057471264368
53,PLAC8,4.1608152,1.9870632042371843e-21,0.9425287356321839
54,GXYLT2,3.0202942,2.4386414018135742e-21,0.9770114942528736
55,ADAMTS12,9.347705,2.459389230815828e-21,0.896551724137931
56,IFITM2,1.8455768,3.494765012210837e-21,0.9540229885057471
57,PDCD6,1.3252742,3.494765012210837e-21,1.0
58,SOX4,2.0123572,3.494765012210837e-21,1.0
59,CFLAR-AS1,4.458657,3.701185079549884e-21,0.9310344827586207
60,PON2,1.7293524,3.7946257576063465e-21,1.0
61,FLOT1,2.387809,4.288381445119752e-21,0.9540229885057471
62,C11ORF70,2.8674026,4.775094309817223e-21,0.9310344827586207
63,LINC00162,2.164816,5.3957826679143795e-21,0.9540229885057471
64,PSMB9,2.607516,5.444305135079919e-21,0.9885057471264368
65,SNHG8,1.1644393,5.860445867146269e-21,0.9885057471264368
66,ZMAT2,1.2588915,8.068575679176616e-21,0.9770114942528736
67,KRT7,3.332062,8.275499020889926e-21,0.9310344827586207
68,LINC00963,3.302147,1.2068542310942402e-20,0.9540229885057471
69,TMEM14B,2.2234344,1.3199192367596769e-20,1.0
70,RWDD2B,1.5819781,1.4667735949349295e-20,0.9885057471264368
71,NINJ1,4.004562,2.1511810159393354e-20,0.9425287356321839
72,RBM26,1.8822136,3.3917266941750283e-20,1.0
73,TRIM37,1.7118785,3.902460077592037e-20,1.0
74,SELM,1.5968874,4.043890553111766e-20,0.9655172413793104
75,SPCS3,0.82341695,4.4642425545105546e-20,1.0
76,RABGGTB,2.4228346,4.55448148038608e-20,0.9425287356321839
77,FBLN2,20.289032,5.551670604269817e-20,0.8620689655172413
78,MDK,1.146847,5.879450517811794e-20,0.9655172413793104
79,SLC25A46,3.0707672,6.192114225276278e-20,0.9540229885057471
80,FCGRT,8.585338,6.983075377517947e-20,0.8620689655172413
81,MT1L,1.9956111,7.054836455153971e-20,0.9425287356321839
82,PDGFC,1.770895,7.354838080727518e-20,0.9770114942528736
83,GTSF1,3.6458418,7.430782581405184e-20,0.9195402298850575
84,ANKRD1,3.6137831,7.50771084601845e-20,0.9425287356321839
85,IFI44L,2.944712,9.692749255899908e-20,0.9770114942528736
86,TBX3,3.7218535,1.1875962058661055e-19,0.9195402298850575
87,CLU,2.1522722,1.2907908289403136e-19,1.0
88,PTS,1.725259,1.6995061987969657e-19,0.9655172413793104
89,MIR181A1HG,5.637207,1.9146238111700835e-19,0.8735632183908046
90,ADAMTS1,2.9938421,2.1458782569808285e-19,0.9770114942528736
91,CTGF,4.5956435,2.3797403075936537e-19,0.896551724137931
92,PHLDA1,2.694629,2.468278076487023e-19,0.9540229885057471
93,DPM3,2.1189218,2.8389877931223267e-19,0.9540229885057471
94,PDE4DIP,2.5372849,3.4728745895756314e-19,0.9655172413793104
95,DNAJC19,0.8587616,4.5592408945231e-19,0.9885057471264368
96,CYBRD1,3.552183,4.679188555961649e-19,0.9310344827586207
97,IL1RAPL1,19.722471,5.240736256598032e-19,0.8390804597701149
98,MAGED2,2.2619727,5.378688830338085e-19,0.9540229885057471
99,COL8A1,6.535816,5.520335122052613e-19,0.8505747126436781
100,NREP,3.64464,5.665774500137766e-19,0.9080459770114943
101,PRPF39,2.2665522,5.995947774641001e-19,0.9770114942528736
102,TAF1D,2.0381017,9.639894339835933e-19,0.9770114942528736
103,HSD17B11,2.2981427,1.3841893124393344e-18,0.9425287356321839
104,CYB5A,1.0010618,1.3841893124393344e-18,0.9655172413793104
105,KYNU,1.5805795,1.486500014285075e-18,0.9770114942528736
106,MX2,4.2435164,1.5025064691593234e-18,0.8735632183908046
107,ZMPSTE24,1.5046496,1.518711014394115e-18,1.0
108,PCID2,2.377937,1.5585299121366934e-18,0.9310344827586207
109,PGGT1B,1.6604035,2.210390684837291e-18,0.9885057471264368
110,PLA2G16,1.0158728,2.6253885597135894e-18,0.9885057471264368
111,KANK2,4.0171933,2.9231987537320114e-18,0.9195402298850575
112,GNGT1,2.4748044,3.0449905388766805e-18,0.9195402298850575
113,C9ORF84,2.0788167,3.709243864187798e-18,0.9655172413793104
