,gene_name,log_fc,pvals_adj,pts
0,S100A14,8.185087,2.8646194489110747e-25,1.0
1,DSG3,7.9528713,2.8646194489110747e-25,1.0
2,DSC2,4.4368377,2.8646194489110747e-25,1.0
3,MAL2,6.2605257,2.8646194489110747e-25,1.0
4,DSC3,4.361955,2.8646194489110747e-25,1.0
5,TACSTD2,4.179759,2.8646194489110747e-25,1.0
6,TES,2.763054,3.264464522411268e-25,1.0
7,APOL2,2.3319075,3.264464522411268e-25,1.0
8,TP63,20.047405,3.264464522411268e-25,0.9871794871794872
9,KRT5,22.545828,3.264464522411268e-25,0.9871794871794872
10,KLF5,2.786226,3.264464522411268e-25,1.0
11,FXYD3,8.343361,3.264464522411268e-25,0.9871794871794872
12,CDH1,10.383218,3.264464522411268e-25,0.9871794871794872
13,CDH3,5.1176844,4.861625133105054e-25,1.0
14,ESRP1,7.1948247,5.375699295866528e-25,0.9871794871794872
15,ZFP36L2,3.7896886,7.374409165238651e-25,1.0
16,GUCD1,2.8778524,7.871574200391988e-25,0.9871794871794872
17,KRT6B,21.045673,9.114336452195537e-25,0.9743589743589743
18,TMEM33,1.5273715,1.1726885649553224e-24,1.0
19,SF1,2.9457097,1.1781587702329426e-24,1.0
20,ZC3HAV1,1.6571232,1.5821522598709863e-24,1.0
21,IRF6,5.6195903,1.7854258509313793e-24,0.9743589743589743
22,KRT17,4.699974,2.3255136360596384e-24,0.9871794871794872
23,GLO1,22.291872,3.04947662619572e-24,0.9615384615384616
24,SERPINB13,21.678675,3.04947662619572e-24,0.9615384615384616
25,SFN,3.4542098,3.368982686623955e-24,0.9743589743589743
26,PERP,1.7293528,4.5365497895054524e-24,1.0
27,EXOSC6,1.0247408,4.60178727493668e-24,1.0
28,BAZ1A,2.2501333,7.425301517129468e-24,1.0
29,C7ORF73,1.8554937,7.545255017964094e-24,0.9871794871794872
30,HLA-A,1.9552783,7.798684192570802e-24,1.0
31,SCEL,19.591957,9.941882312584654e-24,0.9487179487179487
32,KLK8,21.766151,9.941882312584654e-24,0.9487179487179487
33,MRRF,3.0328567,1.066198653537558e-23,0.9871794871794872
34,GJB5,7.9775486,1.1838466556728079e-23,0.9487179487179487
35,AP2S1,1.8284234,1.38891588314811e-23,1.0
36,FAM83H-AS1,7.0868254,1.4654670606103242e-23,0.9487179487179487
37,UFL1,2.00652,2.1236022699995967e-23,0.9871794871794872
38,TIMP3,3.4961119,2.1236022699995967e-23,0.9871794871794872
39,CTSH,4.635453,2.3607326438038767e-23,1.0
40,DSG2,1.707538,3.061434583965009e-23,1.0
41,MACC1,21.38399,3.546546809060016e-23,0.9358974358974359
42,TRIM29,21.722395,3.546546809060016e-23,0.9358974358974359
43,PRRG4,4.5912557,3.747098845924442e-23,0.9615384615384616
44,KLK10,9.905113,4.4038697397539494e-23,0.9358974358974359
45,RBM28,1.6608229,4.755450911803298e-23,1.0
46,SOWAHC,4.4432383,1.0322470046060927e-22,0.9487179487179487
47,CRABP2,4.6747265,1.2560592869271583e-22,0.9358974358974359
48,ERBB2IP,2.0537152,1.3063122623079982e-22,1.0
49,PAQR7,2.578548,1.3213545161766098e-22,0.9743589743589743
50,SLTM,1.2200431,1.3213545161766098e-22,1.0
51,EREG,3.6034598,1.7462527803146142e-22,0.9615384615384616
52,AP1M2,7.9356766,2.0786522959072676e-22,0.9230769230769231
53,ARL6IP1,1.94473,2.1279569958314137e-22,1.0
54,MCM7,3.5142791,2.142459671479233e-22,0.9871794871794872
