,gene_name,log_fc,pvals_adj,pts
0,PLA2G16,1.9322553,2.5382145096428513e-35,1.0
1,TACSTD2,1.3899565,4.220589089351088e-34,1.0
2,AIG1,1.2640729,4.220589089351088e-34,1.0
3,ERP29,1.2505436,4.926125717075655e-34,1.0
4,ALDH7A1,1.9232684,9.338263816636121e-33,0.9866666666666667
5,COX7A2L,1.1791785,2.6005100076337524e-31,0.9866666666666667
6,IFITM2,2.0492134,3.627896323765513e-30,0.9733333333333334
7,FDFT1,1.0831913,9.277369708803662e-30,1.0
8,TSPAN1,1.8004817,1.1779053432519041e-29,1.0
9,LTA4H,1.5166363,1.8763073512313555e-29,0.9866666666666667
10,TM4SF1,0.89325917,3.200461618133903e-29,1.0
11,FXYD3,1.159688,5.402914176111968e-29,0.9866666666666667
12,DLGAP1-AS1,1.4913743,8.907862171232851e-29,1.0
13,TGIF1,1.5266954,1.1691065783235673e-28,1.0
14,CD9,1.2387806,3.425584412666209e-28,1.0
15,CDA,1.1817888,1.596454576001004e-27,0.9866666666666667
16,GSTK1,0.99322027,3.774311087515508e-27,0.9866666666666667
17,ITGB6,2.7437322,8.15151817362533e-27,0.96
18,PROM2,1.6394229,1.1952160231350069e-26,0.96
19,CCNL1,1.791741,2.0508360703655552e-26,1.0
20,NSMCE1,1.0466269,2.9746065464464825e-26,0.96
21,GCLC,1.4741348,6.92870876305914e-26,0.9466666666666667
22,ERMP1,2.18585,3.25742848818788e-25,0.9466666666666667
23,TRIM16L,1.1778437,7.055679577076488e-25,0.9866666666666667
24,NDUFA4,0.45875752,2.352778714782301e-24,1.0
25,NCOA7,0.997605,5.2929584845591255e-24,0.9866666666666667
26,FANCL,1.5478535,6.413683762052177e-24,0.9733333333333334
27,TIMM17A,0.89379203,1.492154195055355e-23,0.9866666666666667
28,ACAT2,1.638283,2.0223774222719594e-23,0.9866666666666667
29,FAM162A,1.4726453,2.6305861076161707e-23,0.9866666666666667
30,TXNIP,2.0602403,2.6305861076161707e-23,0.9066666666666666
31,NUDT2,2.1598122,2.8876964407463844e-23,0.9333333333333333
32,C7ORF73,0.9052949,2.8876964407463844e-23,0.9866666666666667
33,PGD,1.280591,5.941776505406222e-23,0.96
34,NFKBIA,0.80587375,6.194119826576228e-23,1.0
35,DSG2,0.83873725,6.646155390768235e-23,1.0
36,EMC2,0.77258724,7.133613558734706e-23,0.9866666666666667
37,TFB1M,1.6712285,8.320180656828207e-23,0.9333333333333333
38,AKR1A1,0.93687266,8.320180656828207e-23,0.9733333333333334
39,PIGF,1.3267828,1.01252880247025e-22,0.92
40,TGM2,4.3014765,1.296394802842212e-22,0.8
41,SNHG8,1.0893545,2.487769512476341e-22,1.0
42,CCDC80,2.8858302,2.6135638740592023e-22,0.88
43,S100A14,0.9295828,5.337642295695074e-22,1.0
44,ALDOC,1.798128,6.340356035082033e-22,0.9466666666666667
45,RPA2,1.5642188,1.2193532644616428e-21,0.9866666666666667
46,CYB5A,1.6544268,1.825004368520094e-21,0.96
47,VSNL1,1.7471732,3.3601046378387908e-21,0.9733333333333334
48,PIR,1.7972151,3.5723108113546085e-21,0.9466666666666667
49,IRF6,0.90295696,6.618582446518376e-21,0.9866666666666667
50,BLVRA,0.7846769,8.944782208406496e-21,0.9333333333333333
51,SH3BGRL,2.294727,1.1123636271640655e-20,0.8933333333333333
52,MPZL2,1.9360244,2.982072798663908e-20,0.9333333333333333
53,SCNN1A,3.7222826,2.982072798663908e-20,0.7866666666666666
54,SYTL3,2.0940201,3.1706668068917345e-20,0.92
55,TNFSF10,1.2847652,3.556223529768425e-20,0.9733333333333334
56,ALDH3A1,2.1120894,8.228423146968745e-20,0.88
57,GPR110,2.6897748,8.793847633226463e-20,0.84
58,HBP1,1.5089662,1.0443808910872235e-19,0.9066666666666666
59,IFNGR1,0.993078,1.946815376027094e-19,0.96
60,RBM25,0.4260045,3.240186852573245e-19,1.0
61,JKAMP,1.4509187,3.5890613888040496e-19,0.9733333333333334
62,PLAU,0.91093606,7.232814672892348e-19,1.0
63,LAMC2,0.6634188,8.047926691068802e-19,0.9866666666666667
64,RDM1,3.1257598,1.2941014097395028e-18,0.8
65,SERPINB2,1.6004986,1.2941014097395028e-18,0.8933333333333333
66,SERPINB3,2.311921,1.6606869785387058e-18,0.8533333333333334
67,THBD,1.529389,2.531683609208071e-18,0.92
68,CSRP2,0.8111827,2.7434598876602914e-18,0.9733333333333334
69,LAMB3,0.9231438,5.050436541327452e-18,1.0
70,UACA,1.2504182,5.050436541327452e-18,0.9866666666666667
71,CCNI,0.67822176,5.926067971382643e-18,0.9866666666666667
72,CTSH,1.4951847,1.064030815359524e-17,1.0
73,TP53TG1,1.2794669,1.07440989442547e-17,0.9333333333333333
74,ELF3,1.7420708,1.1068659583802254e-17,0.8933333333333333
75,RAB25,1.6893818,1.2106815056368902e-17,0.92
76,RAB34,0.8326848,1.3441264663767743e-17,0.96
77,SMC1B,1.7237184,2.574476328941169e-17,0.8666666666666667
78,TMEM159,1.046594,2.842423756011627e-17,0.9466666666666667
79,C1ORF123,1.2348902,3.328940050953938e-17,0.8933333333333333
80,COQ5,1.0368619,3.692823334073423e-17,0.9866666666666667
81,MMP28,1.952332,4.3542148051105386e-17,0.8533333333333334
82,PPME1,0.85734916,4.3542148051105386e-17,0.9733333333333334
83,MT1L,2.1721416,4.401082211571543e-17,0.8133333333333334
84,PAAF1,1.0975868,4.448781605337979e-17,1.0
85,GPR87,0.96310544,8.663107766578224e-17,0.9733333333333334
86,FYB,1.9440392,1.2952012540547555e-16,0.8933333333333333
87,LOXL4,3.6058822,1.7571590083843736e-16,0.72
88,LUC7L3,0.5730132,1.7938947251507354e-16,0.9866666666666667
89,IGFBP3,1.8454,1.876040812332806e-16,0.8933333333333333
90,P4HA2,1.4532841,2.0260670328756782e-16,0.96
91,FAM25C,0.9280602,2.646100295141828e-16,0.96
92,ITM2B,0.617621,4.3389756505528836e-16,0.9866666666666667
93,WSB1,0.99612796,5.036072103931294e-16,0.9866666666666667
94,TRIM16,0.70903826,7.484944222944276e-16,0.9866666666666667
95,CFH,2.1685405,1.0182783041643884e-15,0.7866666666666666
